menuname,direction,provider,backendurl,frontendurl,httpMethod,jsfile,line,controllerClass,판정,note
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/addNode.do,(호출 없음),POST,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/alterNode.do,(호출 없음),PUT,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/alterNodeType.do,(호출 없음),PUT,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/analyzeNode.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/getChildNode.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/getMonitor.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/getNode.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/getNodesWithoutRoot.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/getPaginatedChildNode.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,자체 선언,/anonymous/arms/patchnote/getPatchnoteList.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
